,Country,HDI Rank (2021),Human Development Index (2021),Life Expectancy at Birth (2021),Expected Years of Schooling (2021),Mean Years of Schooling (2021),Gross National Income Per Capita (2021),Happiness Year,Happiness Index,Happiness Rank
124,Malaysia,62.0,0.803,74.8839,13.34304047,10.64505959,26657.94355,2021.0,5.384,81.0
125,Namibia,139.0,0.615,59.269,11.92720692,7.192013277,8633.504452,2021.0,4.574,124.0
126,Niger,189.0,0.4,61.5763,6.957111988,2.116717299,1239.866936,2021.0,5.074,96.0
127,Nigeria,163.0,0.535,52.676,10.12758388,7.181074153,4790.284425,2021.0,4.759,116.0
128,Nicaragua,126.0,0.667,73.8368,12.64135783,7.144,5624.793595,2021.0,5.972,55.0
129,Netherlands,10.0,0.941,81.6873,18.69316522,12.58162975,55979.411,2021.0,7.464,5.0
130,Norway,2.0,0.961,83.2339,18.18519974,13.00362968,64660.10622,2021.0,7.392,6.0
131,Nepal,143.0,0.602,68.4495,12.88694954,5.121792742,3877.315444,2021.0,5.269,87.0
133,New Zealand,13.0,0.937,82.4513,20.28388977,12.94468975,44057.31394,2021.0,7.277,9.0
135,Pakistan,161.0,0.544,66.0979,8.658349991,4.536330223,4623.70543,2021.0,4.934,105.0
136,Panama,61.0,0.805,76.2233,13.05787868,10.54059029,26956.83707,2021.0,6.18,41.0
137,Peru,84.0,0.762,72.3769,15.38773354,9.885518863,12245.89366,2021.0,5.84,63.0
138,Philippines,116.0,0.699,69.2664,13.12656975,8.969099998,8920.428468,2021.0,5.88,61.0
141,Poland,34.0,0.876,76.4572,16.0271492,13.1647501,33033.96081,2021.0,6.166,44.0
143,Portugal,38.0,0.866,81.0443,16.87122917,9.575940132,33154.53343,2021.0,5.929,58.0
144,Paraguay,105.0,0.717,70.2617,12.98799113,8.861840248,12349.286,2021.0,5.653,71.0
147,Romania,53.0,0.821,74.1847,14.22990036,11.27511978,30027.29131,2021.0,6.14,46.0
149,Rwanda,165.0,0.534,66.0722,11.23097038,4.425292358,2209.795202,2021.0,3.415,147.0
150,Saudi Arabia,35.0,0.875,76.936,16.13549042,11.31052971,46111.55135,2021.0,6.494,26.0
152,Senegal,170.0,0.511,67.0926,8.963749886,2.937938258,3344.311825,2021.0,5.132,92.0
153,Singapore,12.0,0.939,82.7545,16.5243206,11.92488003,90918.64471,2021.0,6.377,32.0
155,Sierra Leone,181.0,0.477,60.0624,9.57339109,4.576081285,1621.512579,2021.0,3.849,138.0
156,El Salvador,125.0,0.675,70.7479,12.67134767,7.150929928,8295.665889,2021.0,6.061,49.0
159,Serbia,63.0,0.802,74.1923,14.40009022,11.36987019,19123.02747,2021.0,6.078,48.0
163,Slovakia,45.0,0.848,74.9101,14.51303959,12.91141987,30690.48552,2021.0,6.331,34.0
164,Slovenia,23.0,0.918,80.6904,17.65492058,12.80368042,39746.01987,2021.0,6.461,29.0
165,Sweden,7.0,0.947,82.9833,19.41852951,12.60972023,54489.37401,2021.0,7.363,7.0
169,Chad,190.0,0.394,52.5254,8.035914334,2.57377421,1364.169417,2021.0,4.355,128.0
170,Togo,162.0,0.539,61.6194,12.95049378,5.016807367,2166.619062,2021.0,4.107,136.0
171,Thailand,66.0,0.8,78.7154,15.88221913,8.697119713,17030.15352,2021.0,5.985,54.0
172,Tajikistan,122.0,0.685,71.5942,11.65303618,11.3333938,4547.742427,2021.0,5.466,78.0
173,Turkmenistan,91.0,0.745,69.2644,13.21039963,11.26139,13020.7155,2021.0,5.066,97.0
177,Tunisia,97.0,0.731,73.7719,15.42538224,7.431598614,10257.54477,2021.0,4.596,122.0
180,Tanzania,160.0,0.549,66.2007,9.221489906,6.37289871,2664.329096,2021.0,3.623,142.0
181,Uganda,166.0,0.525,62.7048,10.14986994,5.730941566,2181.43651,2021.0,4.636,119.0
182,Ukraine,77.0,0.773,71.624,14.95656854,11.13142043,13255.50977,2021.0,4.875,110.0
183,Uruguay,58.0,0.809,75.4356,16.83259964,8.982549667,21268.88122,2021.0,6.431,31.0
184,United States,21.0,0.921,77.1982,16.28097916,13.68342972,64765.21509,2021.0,6.951,19.0
185,Uzbekistan,101.0,0.727,70.8616,12.47714043,11.89558983,7916.785725,2021.0,6.179,42.0
187,Venezuela,120.0,0.691,70.5536,12.81608,11.10727736,4810.882621,2021.0,4.892,107.0
191,Yemen,183.0,0.455,63.7534,9.09871006,3.2,1314.270189,2021.0,3.658,141.0
192,South Africa,109.0,0.713,62.341,13.64371014,11.37316036,12948.37325,2021.0,4.956,103.0
193,Zambia,154.0,0.565,61.2234,10.92876021,7.187091494,3217.767739,2021.0,4.073,137.0
194,Zimbabwe,146.0,0.593,59.2531,12.11096904,8.710908501,3809.887158,2021.0,3.145,148.0
